[0.05736096 0.94263904]
[0.32961499 0.67038501]
[0.25355826 0.74644174]
[0.46525172 0.53474828]
[0.15968472 0.84031528]
[0.15765183 0.84234817]
[0.02189433 0.97810567]
[0.26560141 0.73439859]
[0.3873859 0.6126141]
[0.16462416 0.83537584]
[0.32239429 0.67760571]
[0.30660316 0.69339684]
[0.04373174 0.95626826]
[0.115521 0.884479]
[0.19586352 0.80413648]
[0.03692325 0.96307675]
[0.31853431 0.68146569]
[0.07920248 0.92079752]
[0.40532207 0.59467793]
[0.19673232 0.80326768]
[0.22350206 0.77649794]
[0.1388828 0.8611172]
[0.26448173 0.73551827]
[0.25446622 0.74553378]
[0.39420454 0.60579546]
[0.42155605 0.57844395]
[0.4743332 0.5256668]
[0.33123016 0.66876984]
[0.49023912 0.50976088]
[0.35947248 0.64052752]
[0.37281529 0.62718471]
[0.44902107 0.55097893]
[0.50082097 0.49917903]
[0.1954044 0.8045956]
[0.42065385 0.57934615]
[0.40492492 0.59507508]
[0.39796343 0.60203657]
[0.06472828 0.93527172]
[0.43714931 0.56285069]
[0.31061141 0.68938859]
[0.41498054 0.58501946]
[0.14350454 0.85649546]
[0.1431792 0.8568208]
[0.21243963 0.78756037]
[0.38247903 0.61752097]
[0.47517003 0.52482997]
[0.4903252 0.5096748]
[0.25208677 0.74791323]
[0.12178293 0.87821707]
[0.17587372 0.82412628]
[0.18840866 0.81159134]
[0.37296235 0.62703765]
[0.39109346 0.60890654]
[0.29268151 0.70731849]
[0.23692073 0.76307927]
[0.21838158 0.78161842]
[0.2824888 0.7175112]
[0.07095756 0.92904244]
[0.01274204 0.98725796]
[0.30444535 0.69555465]
[0.29665086 0.70334914]
[0.17249349 0.82750651]
[0.37914967 0.62085033]
[0.2141945 0.7858055]
[0.31938212 0.68061788]
[0.38319108 0.61680892]
[0.42371555 0.57628445]
[0.09790765 0.90209235]
[0.30273906 0.69726094]
[0.44210951 0.55789049]
[0.2774186 0.7225814]
[0.1469943 0.8530057]
[0.2299436 0.7700564]
[0.48517933 0.51482067]
[0.18537595 0.81462405]
[0.24760952 0.75239048]
[0.15474198 0.84525802]
[0.27424984 0.72575016]
[0.28881563 0.71118437]
[0.34348525 0.65651475]
[0.33520959 0.66479041]
[0.22749243 0.77250757]
[0.27448874 0.72551126]
[0.42333958 0.57666042]
[0.25562727 0.74437273]
[0.46572048 0.53427952]
[0.16527124 0.83472876]
[0.34125118 0.65874882]
[0.16284089 0.83715911]
[0.03722421 0.96277579]
[0.1683609 0.8316391]
[0.22373601 0.77626399]
[0.29401805 0.70598195]
[0.06694389 0.93305611]
[0.12115119 0.87884881]
[0.18352829 0.81647171]
[0.07725998 0.92274002]
[0.21023104 0.78976896]
[0.17949446 0.82050554]
[0.38500185 0.61499815]
[0.44938933 0.55061067]
[0.3669978 0.6330022]
[0.45974342 0.54025658]
[0.17705341 0.82294659]
[0.42337123 0.57662877]
[0.47244476 0.52755524]
[0.24770154 0.75229846]
[0.43257777 0.56742223]
[0.14611874 0.85388126]
[0.43773543 0.56226457]
[0.39309024 0.60690976]
[0.33548136 0.66451864]
[0.41581586 0.58418414]
[0.35431919 0.64568081]
[0.09228006 0.90771994]
[0.30028674 0.69971326]
[0.24170869 0.75829131]
[0.1195682 0.8804318]
[0.17551059 0.82448941]
[0.44484801 0.55515199]
[0.13296222 0.86703778]
[0.32056027 0.67943973]
[0.20993283 0.79006717]
[0.24734585 0.75265415]
[0.06915953 0.93084047]
[0.40687776 0.59312224]
[0.02506732 0.97493268]
[0.20357766 0.79642234]
[0.21584383 0.78415617]
[0.05463194 0.94536806]
[0.23669627 0.76330373]
[0.53068605 0.46931395]
[0.41619929 0.58380071]
[0.31052933 0.68947067]
[0.53030001 0.46969999]
[0.35298805 0.64701195]
[0.16151354 0.83848646]
[0.35299942 0.64700058]
[0.45954478 0.54045522]
[0.50439688 0.49560312]
[0.16471405 0.83528595]
[0.34484198 0.65515802]
[0.42712236 0.57287764]
[0.21234137 0.78765863]
[0.07591746 0.92408254]
[0.45489722 0.54510278]
[0.49750244 0.50249756]
[0.06870791 0.93129209]
[0.30436443 0.69563557]
[0.32185271 0.67814729]
[0.03404786 0.96595214]
[0.19710255 0.80289745]
[0.03482407 0.96517593]
[0.35487196 0.64512804]
[0.39742167 0.60257833]
[0.42237097 0.57762903]
[0.28151318 0.71848682]
[0.13289003 0.86710997]
[0.23685731 0.76314269]
[0.21544958 0.78455042]
[0.06695672 0.93304328]
[0.51155072 0.48844928]
[0.41649984 0.58350016]
[0.3077848 0.6922152]
[0.40986252 0.59013748]
[0.16580791 0.83419209]
[0.21530065 0.78469935]
[0.19195744 0.80804256]
[0.35714033 0.64285967]
[0.53571729 0.46428271]
[0.50954603 0.49045397]
[0.31661883 0.68338117]
[0.39913593 0.60086407]
[0.06122686 0.93877314]
[0.27333304 0.72666696]
[0.27912433 0.72087567]
[0.27896319 0.72103681]
[0.15273429 0.84726571]
[0.11991092 0.88008908]
[0.1418453 0.8581547]
[0.08347532 0.91652468]
[0.37462592 0.62537408]
[0.36931559 0.63068441]
[0.28166289 0.71833711]
[0.43941925 0.56058075]
[0.26541515 0.73458485]
[0.29330873 0.70669127]
[0.24518465 0.75481535]
[0.06076069 0.93923931]
[0.40465146 0.59534854]
[0.4742344 0.5257656]
[0.38769985 0.61230015]
[0.30005047 0.69994953]
[0.21316299 0.78683701]
[0.36451744 0.63548256]
[0.33331 0.66669]
[0.14347205 0.85652795]
[0.2829911 0.7170089]
[0.21120685 0.78879315]
[0.09087686 0.90912314]
[0.22032419 0.77967581]
[0.06161473 0.93838527]
[0.35280816 0.64719184]
[0.23579077 0.76420923]
[0.35875329 0.64124671]
[0.05928168 0.94071832]
[0.35879655 0.64120345]
[0.32055416 0.67944584]
[0.26844731 0.73155269]
[0.1837043 0.8162957]
[0.2456665 0.7543335]
[0.11501608 0.88498392]
[0.09543579 0.90456421]
[0.24091132 0.75908868]
[0.30045801 0.69954199]
[0.2057945 0.7942055]
[0.17715231 0.82284769]
[0.43447826 0.56552174]
[0.06784954 0.93215046]
[0.47308642 0.52691358]
[0.26277661 0.73722339]
[0.10297071 0.89702929]
[0.19678587 0.80321413]
[0.28177207 0.71822793]
[0.33163808 0.66836192]
