[0.05474912 0.94525088]
[0.32819063 0.67180937]
[0.25340339 0.74659661]
[0.46717362 0.53282638]
[0.16081099 0.83918901]
[0.15506107 0.84493893]
[0.02113385 0.97886615]
[0.26556548 0.73443452]
[0.38909919 0.61090081]
[0.16125883 0.83874117]
[0.3204725 0.6795275]
[0.30719399 0.69280601]
[0.04314071 0.95685929]
[0.115156 0.884844]
[0.19496979 0.80503021]
[0.03683763 0.96316237]
[0.3182863 0.6817137]
[0.07837484 0.92162516]
[0.40617671 0.59382329]
[0.1960887 0.8039113]
[0.2168149 0.7831851]
[0.15159535 0.84840465]
[0.26307144 0.73692856]
[0.2540312 0.7459688]
[0.39406845 0.60593155]
[0.42126511 0.57873489]
[0.47329072 0.52670928]
[0.32966102 0.67033898]
[0.49052815 0.50947185]
[0.35957544 0.64042456]
[0.37321625 0.62678375]
[0.44147746 0.55852254]
[0.49991347 0.50008653]
[0.1947005 0.8052995]
[0.42108021 0.57891979]
[0.41054362 0.58945638]
[0.39733579 0.60266421]
[0.07661432 0.92338568]
[0.43041854 0.56958146]
[0.31171484 0.68828516]
[0.41400003 0.58599997]
[0.1431077 0.8568923]
[0.14162006 0.85837994]
[0.21011554 0.78988446]
[0.41146501 0.58853499]
[0.47695454 0.52304546]
[0.49021672 0.50978328]
[0.25075475 0.74924525]
[0.12191272 0.87808728]
[0.17534792 0.82465208]
[0.18741792 0.81258208]
[0.37282962 0.62717038]
[0.3899675 0.6100325]
[0.29243046 0.70756954]
[0.23883224 0.76116776]
[0.21750544 0.78249456]
[0.30939554 0.69060446]
[0.07045763 0.92954237]
[0.01213427 0.98786573]
[0.34915278 0.65084722]
[0.29788257 0.70211743]
[0.17151675 0.82848325]
[0.3789748 0.6210252]
[0.21446462 0.78553538]
[0.31905192 0.68094808]
[0.3838513 0.6161487]
[0.42162644 0.57837356]
[0.09755039 0.90244961]
[0.30400307 0.69599693]
[0.44062005 0.55937995]
[0.27449714 0.72550286]
[0.1454635 0.8545365]
