[0.0558083 0.9441917]
[0.32879126 0.67120874]
[0.25250642 0.74749358]
[0.46236326 0.53763674]
[0.15974843 0.84025157]
[0.15681381 0.84318619]
[0.02244769 0.97755231]
[0.26427393 0.73572607]
[0.38732084 0.61267916]
[0.16240261 0.83759739]
[0.32092254 0.67907746]
[0.30675585 0.69324415]
[0.04825345 0.95174655]
[0.11602514 0.88397486]
[0.19646327 0.80353673]
[0.03709591 0.96290409]
[0.3174305 0.6825695]
[0.07844977 0.92155023]
[0.4055044 0.5944956]
[0.19671135 0.80328865]
[0.22722789 0.77277211]
[0.13850253 0.86149747]
[0.26140607 0.73859393]
[0.25634397 0.74365603]
[0.3939248 0.6060752]
[0.42170498 0.57829502]
[0.47398364 0.52601636]
[0.33076569 0.66923431]
[0.48993324 0.51006676]
[0.35797788 0.64202212]
[0.3747243 0.6252757]
[0.44810437 0.55189563]
[0.49859616 0.50140384]
[0.19246635 0.80753365]
[0.42023401 0.57976599]
[0.40951407 0.59048593]
[0.39817142 0.60182858]
[0.07572291 0.92427709]
[0.43251062 0.56748938]
[0.31086296 0.68913704]
[0.41507069 0.58492931]
[0.14294155 0.85705845]
[0.14353956 0.85646044]
[0.21153901 0.78846099]
[0.4120292 0.5879708]
[0.47688627 0.52311373]
[0.49125898 0.50874102]
[0.25222636 0.74777364]
[0.11820787 0.88179213]
[0.17753296 0.82246704]
[0.18850292 0.81149708]
[0.37438556 0.62561444]
[0.38941844 0.61058156]
[0.29218373 0.70781627]
[0.23734481 0.76265519]
[0.21827714 0.78172286]
[0.30995509 0.69004491]
[0.06777299 0.93222701]
[0.01266319 0.98733681]
[0.26007379 0.73992621]
[0.29822813 0.70177187]
[0.17288634 0.82711366]
[0.37874357 0.62125643]
[0.21026073 0.78973927]
[0.32123789 0.67876211]
[0.38392235 0.61607765]
[0.42401025 0.57598975]
[0.09770874 0.90229126]
[0.31161915 0.68838085]
[0.44105112 0.55894888]
[0.27492606 0.72507394]
[0.14599942 0.85400058]
[0.23076357 0.76923643]
[0.48505737 0.51494263]
[0.23115972 0.76884028]
[0.23953542 0.76046458]
[0.15605777 0.84394223]
[0.27279872 0.72720128]
[0.28736289 0.71263711]
[0.34380102 0.65619898]
[0.34082178 0.65917822]
[0.24868436 0.75131564]
[0.27466818 0.72533182]
[0.42394194 0.57605806]
[0.25366192 0.74633808]
[0.4411767 0.5588233]
[0.15876558 0.84123442]
[0.34697461 0.65302539]
[0.1613964 0.8386036]
[0.03354199 0.96645801]
[0.16843449 0.83156551]
[0.22066464 0.77933536]
[0.29266219 0.70733781]
[0.06659822 0.93340178]
[0.12041695 0.87958305]
[0.18248401 0.81751599]
[0.07708615 0.92291385]
[0.20921116 0.79078884]
[0.17891513 0.82108487]
[0.38727797 0.61272203]
[0.46731789 0.53268211]
[0.36734474 0.63265526]
[0.45928938 0.54071062]
[0.19156844 0.80843156]
[0.42353682 0.57646318]
[0.47297141 0.52702859]
[0.24742534 0.75257466]
[0.43159861 0.56840139]
[0.14560559 0.85439441]
[0.4251547 0.5748453]
[0.39215749 0.60784251]
[0.35100758 0.64899242]
[0.42010449 0.57989551]
[0.35509226 0.64490774]
[0.09186789 0.90813211]
[0.29947434 0.70052566]
[0.24565636 0.75434364]
[0.11922538 0.88077462]
[0.17796654 0.82203346]
[0.44532943 0.55467057]
[0.13290399 0.86709601]
[0.3191955 0.6808045]
[0.20931473 0.79068527]
[0.24883444 0.75116556]
[0.06838729 0.93161271]
[0.40625466 0.59374534]
[0.02559213 0.97440787]
[0.20370147 0.79629853]
[0.21694366 0.78305634]
[0.05584945 0.94415055]
[0.23533021 0.76466979]
[0.53046019 0.46953981]
[0.41702323 0.58297677]
[0.31007945 0.68992055]
[0.53101456 0.46898544]
[0.35224555 0.64775445]
[0.16280619 0.83719381]
[0.35288797 0.64711203]
[0.45852037 0.54147963]
[0.50420747 0.49579253]
[0.16171339 0.83828661]
[0.34336339 0.65663661]
[0.42784152 0.57215848]
[0.21156959 0.78843041]
[0.0752561 0.9247439]
[0.43221763 0.56778237]
[0.49452509 0.50547491]
[0.06788345 0.93211655]
[0.30339461 0.69660539]
[0.3219289 0.6780711]
[0.03225032 0.96774968]
[0.19516824 0.80483176]
[0.03475489 0.96524511]
[0.35624848 0.64375152]
[0.39676439 0.60323561]
[0.42139015 0.57860985]
[0.28242279 0.71757721]
