[0.05749381 0.94250619]
[0.32802866 0.67197134]
[0.24937653 0.75062347]
[0.51833849 0.48166151]
[0.16099442 0.83900558]
[0.15596659 0.84403341]
[0.02219203 0.97780797]
[0.23780758 0.76219242]
[0.38652851 0.61347149]
[0.16410423 0.83589577]
[0.31839464 0.68160536]
[0.30618546 0.69381454]
[0.04792875 0.95207125]
[0.11613837 0.88386163]
[0.19627205 0.80372795]
[0.03720657 0.96279343]
[0.31737881 0.68262119]
[0.07812696 0.92187304]
[0.40473788 0.59526212]
[0.19661041 0.80338959]
[0.21270983 0.78729017]
[0.14456 0.85544]
[0.26377211 0.73622789]
[0.25360216 0.74639784]
[0.39557996 0.60442004]
[0.42112995 0.57887005]
[0.47449485 0.52550515]
[0.33092821 0.66907179]
[0.48921559 0.51078441]
[0.36489372 0.63510628]
[0.37559062 0.62440938]
[0.4481447 0.5518553]
[0.49917508 0.50082492]
[0.19773814 0.80226186]
[0.41913154 0.58086846]
[0.40892889 0.59107111]
[0.39865388 0.60134612]
[0.08231829 0.91768171]
[0.43458718 0.56541282]
[0.31193693 0.68806307]
[0.41441329 0.58558671]
[0.14246076 0.85753924]
[0.14276776 0.85723224]
[0.21223104 0.78776896]
[0.41184056 0.58815944]
[0.47158606 0.52841394]
[0.49155012 0.50844988]
[0.25224036 0.74775964]
[0.11712887 0.88287113]
[0.17857519 0.82142481]
[0.18777964 0.81222036]
[0.37174338 0.62825662]
[0.39175034 0.60824966]
[0.29173411 0.70826589]
[0.23717368 0.76282632]
[0.21894285 0.78105715]
[0.31018505 0.68981495]
[0.07033586 0.92966414]
[0.01254863 0.98745137]
[0.36455791 0.63544209]
[0.29691249 0.70308751]
[0.17173784 0.82826216]
[0.37866915 0.62133085]
[0.21282579 0.78717421]
[0.31789934 0.68210066]
[0.38381997 0.61618003]
[0.42406292 0.57593708]
[0.09742614 0.90257386]
[0.30484712 0.69515288]
[0.44226164 0.55773836]
[0.2761545 0.7238455]
[0.1467325 0.8532675]
[0.23009657 0.76990343]
[0.48450749 0.51549251]
[0.23142178 0.76857822]
[0.24810065 0.75189935]
[0.15369656 0.84630344]
[0.27269378 0.72730622]
[0.29011106 0.70988894]
[0.34231643 0.65768357]
[0.34124196 0.65875804]
[0.24720683 0.75279317]
[0.27397079 0.72602921]
[0.42339514 0.57660486]
[0.25692023 0.74307977]
[0.46799932 0.53200068]
[0.16436242 0.83563758]
[0.34832334 0.65167666]
[0.16196278 0.83803722]
[0.03576161 0.96423839]
[0.16608128 0.83391872]
[0.22299184 0.77700816]
[0.29307007 0.70692993]
[0.06639856 0.93360144]
[0.11999117 0.88000883]
[0.1836701 0.8163299]
[0.07697435 0.92302565]
[0.21060561 0.78939439]
[0.17915046 0.82084954]
[0.38472955 0.61527045]
[0.46666733 0.53333267]
[0.36722124 0.63277876]
[0.46039457 0.53960543]
[0.19186922 0.80813078]
[0.42336878 0.57663122]
[0.47287029 0.52712971]
[0.24807062 0.75192938]
[0.43075421 0.56924579]
[0.14579925 0.85420075]
[0.42694128 0.57305872]
[0.39167615 0.60832385]
[0.35165825 0.64834175]
[0.41727017 0.58272983]
[0.3556908 0.6443092]
[0.09233052 0.90766948]
[0.30037566 0.69962434]
[0.24707357 0.75292643]
[0.117946 0.882054]
[0.1760298 0.8239702]
[0.44429631 0.55570369]
[0.1324302 0.8675698]
[0.32006315 0.67993685]
[0.20943129 0.79056871]
[0.24741957 0.75258043]
[0.06833129 0.93166871]
[0.42017967 0.57982033]
[0.02504149 0.97495851]
[0.2029993 0.7970007]
[0.21753188 0.78246812]
[0.05633608 0.94366392]
[0.23425244 0.76574756]
[0.5304538 0.4695462]
[0.41601726 0.58398274]
[0.30982371 0.69017629]
[0.53048921 0.46951079]
[0.35211706 0.64788294]
[0.1621269 0.8378731]
[0.35295457 0.64704543]
[0.45799357 0.54200643]
[0.50420403 0.49579597]
[0.17608141 0.82391859]
[0.33026166 0.66973834]
[0.42744262 0.57255738]
[0.21293233 0.78706767]
[0.07602189 0.92397811]
[0.39392271 0.60607729]
[0.49783334 0.50216666]
[0.06871567 0.93128433]
[0.30313447 0.69686553]
[0.32263514 0.67736486]
[0.03313113 0.96686887]
[0.19407482 0.80592518]
[0.03496568 0.96503432]
[0.35541356 0.64458644]
[0.39770035 0.60229965]
[0.4220069 0.5779931]
[0.28100844 0.71899156]
[0.13284765 0.86715235]
[0.23716839 0.76283161]
[0.2153896 0.7846104]
[0.06702819 0.93297181]
[0.5121938 0.4878062]
[0.41565826 0.58434174]
[0.30777359 0.69222641]
[0.41010735 0.58989265]
[0.17764267 0.82235733]
[0.21746803 0.78253197]
[0.19083092 0.80916908]
[0.35570496 0.64429504]
[0.53867554 0.46132446]
[0.50983303 0.49016697]
[0.31624276 0.68375724]
[0.40072379 0.59927621]
[0.06780824 0.93219176]
[0.27271517 0.72728483]
[0.27991564 0.72008436]
[0.27937858 0.72062142]
[0.1530605 0.8469395]
[0.09958764 0.90041236]
[0.1414444 0.8585556]
[0.0851985 0.9148015]
[0.37502734 0.62497266]
[0.36956587 0.63043413]
[0.26629572 0.73370428]
[0.44100595 0.55899405]
[0.26588625 0.73411375]
[0.29097661 0.70902339]
[0.2450657 0.7549343]
[0.06016884 0.93983116]
[0.40485079 0.59514921]
[0.50632825 0.49367175]
[0.38894706 0.61105294]
[0.29675407 0.70324593]
[0.20606448 0.79393552]
[0.36503403 0.63496597]
[0.35220098 0.64779902]
[0.13795627 0.86204373]
[0.28615093 0.71384907]
[0.21109945 0.78890055]
[0.09188004 0.90811996]
[0.2192151 0.7807849]
[0.06174087 0.93825913]
[0.35344452 0.64655548]
[0.23746175 0.76253825]
[0.35761889 0.64238111]
[0.059165 0.940835]
[0.3579938 0.6420062]
[0.31989 0.68011]
[0.2297479 0.7702521]
[0.18457076 0.81542924]
[0.24516336 0.75483664]
[0.11561069 0.88438931]
[0.09544746 0.90455254]
[0.24354841 0.75645159]
[0.30082255 0.69917745]
[0.20552838 0.79447162]
[0.18026363 0.81973637]
[0.43542298 0.56457702]
[0.06724542 0.93275458]
[0.4731158 0.5268842]
[0.26060115 0.73939885]
[0.10485901 0.89514099]
[0.19737309 0.80262691]
[0.28203792 0.71796208]
[0.33176348 0.66823652]
[0.33055415 0.66944585]
[0.39741576 0.60258424]
[0.10145435 0.89854565]
[0.08645406 0.91354594]
[0.09330089 0.90669911]
[0.38763239 0.61236761]
[0.2706645 0.7293355]
[0.10985956 0.89014044]
[0.22556406 0.77443594]
[0.34083547 0.65916453]
[0.10905582 0.89094418]
[0.40542578 0.59457422]
[0.48463896 0.51536104]
[0.00894449 0.99105551]
[0.35854885 0.64145115]
[0.45302285 0.54697715]
[0.56241299 0.43758701]
[0.42114981 0.57885019]
[0.17601089 0.82398911]
[0.41296768 0.58703232]
[0.16840224 0.83159776]
[0.45875026 0.54124974]
[0.15696298 0.84303702]
[0.14401759 0.85598241]
[0.22641544 0.77358456]
[0.35116933 0.64883067]
[0.49528789 0.50471211]
[0.2111245 0.7888755]
[0.26683295 0.73316705]
[0.20358713 0.79641287]
[0.19533544 0.80466456]
[0.3385497 0.6614503]
[0.22744197 0.77255803]
[0.46095271 0.53904729]
[0.41206929 0.58793071]
[0.45504921 0.54495079]
[0.41726321 0.58273679]
[0.1491013 0.8508987]
[0.08869485 0.91130515]
[0.26594922 0.73405078]
[0.43189231 0.56810769]
[0.1277425 0.8722575]
[0.19989011 0.80010989]
[0.05313859 0.94686141]
[0.15851384 0.84148616]
[0.10843589 0.89156411]
[0.25547277 0.74452723]
[0.50845245 0.49154755]
[0.30936894 0.69063106]
[0.48703372 0.51296628]
[0.04768469 0.95231531]
[0.45924711 0.54075289]
[0.38504165 0.61495835]
[0.19031682 0.80968318]
